tick;name;2024;2023;2022;2021;2020;2019;2018;2017;2016
ADM.N;Archer-Daniels-Midland Co;134.1353063;132.9315845;160.7056974;209.7739103;228.9037367;225.7192148;240.2183205;228.9802072;215.8016011
AROC.N;Archrock Inc;22.08692855;24.89951514;27.69352092;28.48309399;30.62665226;153.373038;173.3968641;180.7191163;
ACA.N;Arcosa Inc;218.1349206;216.9475545;233.5074396;269.3626576;232.6097562;;;;
ARCT.OQ;Arcturus Therapeutics Holdings Inc;5.854921901;6.830745832;15.6063289;17.89671526;18.50721546;20.42328125;;;
RCUS.N;Arcus Biosciences Inc;6.122661092;6.572253236;14.67941762;17.39477776;19.19073478;;;;
ARQT.O;Arcutis Biotherapeutics Inc;6.122661092;;;;;;;;
AMBP.N;Ardagh Metal Packaging SA;33.27383237;;;;;;;;
ARDX.OQ;Ardelyx Inc;6.122661092;6.572253236;14.67941762;17.39477776;19.19073478;;;;
ASC.N;Ardmore Shipping Corp;780.8228539;838.2337672;878.5290191;1.838723184;766.423125;692.7332956;;;
ACRE.N;Ares Commercial Real Estate Corp;0.308907715;24.30132419;24.61851059;9.064798752;8.278421267;10.8061658;;;
ARES.N;Ares Management Corp;0.012215881;0.011454979;0.011158356;2.868661285;1.664430316;1.702701821;;;
AGX.N;Argan Inc;65.53791558;47.82653484;74.87283252;99.31820116;30.05426778;33.54807499;85.62232106;;
ARHS.O;Arhaus Inc;;;;;;;;;
ARIS.N;Aris Water Solutions Inc;73.58544054;;;;;;;;
ANET.N;Arista Networks Inc;0.212265281;0.225573601;0.353577457;0.332267809;0.372321066;0.541390827;14.61635433;14.76280966;
ARKO.OQ;Arko Corp.;12.48654948;12.48654679;11.0430415;13.54507015;;;;;
ARLO.N;Arlo Technologies Inc;0.522007936;0.195340778;0.20159371;8.024334706;10.21427596;;;;
AHH.N;Armada Hoffler Properties Inc;7.46897973;7.396723936;7.139413981;7.143273862;7.488558238;7.722198076;9.619021354;;
ARR.N;ARMOUR Residential REIT Inc;;;;28.26083926;2.478217811;7.278851213;;;
AWI.N;Armstrong World Industries Inc;159.3025708;211.5823242;212.4026043;205.8963491;293.1785682;316.7600648;589.8189327;626.1817052;
ARRY.OQ;Array Technologies Inc;0.870729823;1.976988649;1.469599255;;;;;;
AVBP.OQ;Arrivent Biopharma Inc;;;;;;;;;
ARW.N;Arrow Electronics Inc;0.314483201;0.314483197;0.187516315;3.143346661;3.143346661;5.460898835;7.106006099;8.035785132;9.530608682
AROW.OQ;Arrow Financial Corp;11.21019999;7.431856832;6.097775647;1.302210023;1.585632665;1.602613539;1.428977654;1.448461846;
ARWR.OQ;Arrowhead Pharmaceuticals Inc;15.70717986;17.02441279;18.66134693;18.9045692;18.64322765;19.19073597;19.90229954;;
SPRY.OQ;ARS Pharmaceuticals Inc;6.122661092;;;;;;;;
AJG.N;Arthur J. Gallagher & Co.;0.296353472;0.243014106;0.229167857;0.339819319;1.120737006;0.970283537;1.111595524;0.978976756;
APAM.N;Artisan Partners Asset Management Inc;0.088278692;0.079534071;0.065186924;0.077815216;0.088866415;1.702701821;1.640396583;0.761879756;0.813610257
AORT.N;Artivion Inc;23.340525;22.28647151;13.42716125;13.32832726;14.63105461;18.15759712;20.9038021;;
